type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder
473167879,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/fe/b9/feb91a05-5c6e-4c59-bdb0-137f34c7afed.jpg,,47015-p,photograph of CAS-ICH 47015,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
473167867,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/97/54/9754745a-a50e-4389-b659-b36e79254e24.jpg,,47012-i,illustration of CAS-ICH 47012,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
473167848,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/e9/9c/e99c9bc1-4c9f-408b-b411-62a543806cdb.jpg,,64617-p,photograph of CAS-ICH 64617,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
473167848,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/32/10/3210544c-82b6-4baa-aebf-a986d895ba7b.jpg,,64617-r,radiograph of CAS-ICH 64617,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
472958429,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/02/b0/02b0755e-00c2-4a68-a904-a7d2e5c284ed.jpg,,64620-p,photograph of CAS-ICH 64620,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
472958429,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/ac/a5/aca5b286-f69b-43c3-ba10-fc5c56f02c56.jpg,,64620-i,illustration of CAS-ICH 64620,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
472958429,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/05/b1/05b1530f-a1ca-4f60-94ec-db0ad5965c30.jpg,,64620-r,radiograph of CAS-ICH 64620,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
472944393,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/69/c1/69c1a431-7a43-454f-838e-415df6800d23.jpg,,7509-i,illustration of CAS-ICH 7509,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
472944393,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/04/49/044945dc-0584-4517-8213-2f448d47dee3.jpg,,7509-r,radiograph of CAS-ICH 7509,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
472944393,StillImage,image/jpeg,https://ibss-images.calacademy.org/static/ichthyology/originals/ae/c3/aec3da81-0f4c-4128-9458-d62593edea19.jpg,,7509-p,photograph of CAS-ICH 7509,,,,,,,http://creativecommons.org/publicdomain/zero/1.0/,
